Generation,Best,Worse,Average
1,33.7343,3.73803e+09,6.95264e-310
2,33.7343,1.59884e+08,7.80523e+07
3,23.9647,1.00418e+06,3.13512e+06
4,23.9647,1.48131e+07,20246.5
5,33.7343,1.38684e+07,562915
6,33.7343,5.52335e+06,375363
7,33.7343,2136.41,201487
8,33.7343,2.38241e+07,82.9145
9,33.7343,23778.4,562362
10,33.7343,3.09779e+12,1478.01
11,33.7343,1.73425e+06,1.21252e+11
12,33.7343,513.254,34039.6
13,33.7343,19753.9,44.691
14,33.7343,38.6657,421.503
15,33.7343,39.6059,34.5843
16,33.7343,39.1627,34.9129
17,33.7343,164.802,35.3431
18,33.7343,39.1627,37.3479
19,33.7343,39.1627,34.662
20,33.7343,39.1627,34.8145
21,33.7343,171.91,34.8824
22,33.7343,38.6657,37.5613
23,33.7343,513.254,34.7187
24,33.7343,171.91,44.3576
25,33.7343,39.1627,37.9013
26,33.7343,39.1627,35.2797
27,33.7343,39.1627,35.4806
28,33.7343,39.1627,35.0962
29,33.7343,21474.2,34.7491
30,33.7343,39.1627,455.183
31,33.7343,39.1627,35.042
32,33.7343,39.1627,35.0256
33,33.7343,39.1627,34.9761
34,33.7343,39.1627,34.6224
35,33.7343,39.1627,34.8928
36,33.7343,240.111,34.8788
37,33.7343,513.254,42.929
38,33.7343,39.1627,44.122
39,33.7343,39.1627,34.8132
40,33.7343,39.1627,34.712
41,33.7343,39.1627,34.9595
42,33.7343,171.91,35.5244
43,33.7343,39.1627,38.1305
44,33.7343,38.6657,34.8555
45,33.7343,39.1627,34.5881
46,33.7343,39.1627,34.7621
47,33.7343,39.1627,34.4306
48,33.7343,75418.8,34.8406
49,33.7343,39.1627,1512.78
50,33.7343,39.1627,34.8853
51,33.7343,39.1627,34.545
52,33.7343,39.1627,34.9149
53,33.7343,39.1627,34.8736
54,33.7343,39.1627,34.8118
55,33.7343,39.1627,35.0427
56,33.7343,75418.8,34.8905
57,33.7343,39.1627,1513.01
58,33.7343,39.1627,34.7672
59,33.7343,39.1627,35.2599
60,33.7343,39.1627,35.5191
61,33.7343,39.1627,34.7407
62,33.7343,39.1627,35.1776
63,33.7343,39.1627,35.003
64,33.7343,513.254,35.4472
65,33.7343,39.1627,44.0396
66,33.7343,39.1627,34.6153
67,33.7343,39.1627,34.8445
68,33.7343,39.5684,35.2146
69,33.7343,39.1627,34.7536
70,33.7343,39.1627,34.9076
71,33.7343,39.1627,34.7759
72,33.7343,39.1627,34.7235
73,33.7343,39.1627,34.8483
74,33.7343,39.1627,35.0551
75,33.7343,39.1627,35.0965
76,33.7343,513.254,35.6096
77,33.7343,39.1627,47.4197
78,33.7343,164.802,34.9638
79,33.7343,39.1627,37.5814
80,33.7343,39.1627,34.8306
81,33.7343,39.1627,34.6838
82,30.0867,75418.8,34.9321
83,30.0867,39.1627,1513.08
84,30.0867,39.1627,34.4899
85,30.0867,75418.8,33.9828
86,30.0867,245.497,1512.69
87,30.0867,39.1627,43.0642
88,30.0867,2186.99,35.0594
89,30.0867,245.497,76.7521
90,30.0867,39.1627,42.0093
91,30.0867,2186.99,33.6371
92,30.0867,513.254,88.3197
93,30.0867,39.1627,41.7327
94,30.0867,39.1627,31.4971
95,30.0867,2041.4,32.2222
96,30.0867,2186.99,75.498
97,30.0867,234.914,75.2264
98,30.0867,245.497,36.7723
99,30.0867,2186.99,36.9798
