Gerneration,Depth average
1,4.05882
2,3.76471
3,3.7451
4,4.13725
5,3.80392
6,4.09804
7,4.23529
8,4.58824
9,4.70588
10,4.60784
11,4.78431
12,4.94118
13,4.98039
14,5.17647
15,5.43137
16,6
17,6.5098
18,6.43137
19,6.82353
20,7
21,7.17647
22,7.76471
23,7.68627
24,8.27451
25,8.5098
26,8.92157
27,9.09804
28,9.47059
29,9.27451
30,9.27451
31,9.60784
32,9.66667
33,9.03922
34,9.33333
35,9.21569
36,9.11765
37,8.68627
38,8.58824
39,8.31373
40,8.09804
41,8.29412
42,8
43,8.21569
44,8.39216
45,9.09804
46,9.09804
47,8.98039
48,9.17647
49,8.84314
50,8.80392
51,8.60784
52,8.41176
53,8.39216
54,8.17647
55,7.94118
56,7.47059
57,6.98039
58,6.82353
59,6.47059
60,6.23529
61,6.47059
62,6.58824
63,7.01961
64,6.88235
65,7.31373
66,7.80392
67,8.15686
68,8.60784
69,8.17647
70,7.90196
71,7.78431
72,7.80392
73,7.66667
74,7.96078
75,8.43137
76,8.43137
77,8.72549
78,8.47059
79,8.70588
80,8.35294
81,8.60784
82,8.47059
83,8.60784
84,8.70588
85,8.60784
86,8.78431
87,8.70588
88,8.76471
89,8.7451
90,8.54902
91,7.94118
92,7.7451
93,7.92157
94,8.35294
95,8.47059
96,8.29412
97,8.54902
98,8.64706
99,8.47059
