Generation,Diversity
1,38
2,23
3,18
4,20
5,20
6,22
7,23
8,26
9,21
10,18
11,15
12,19
13,20
14,20
15,26
16,30
17,29
18,34
19,32
20,37
21,30
22,30
23,28
24,32
25,35
26,32
27,36
28,36
29,30
30,34
31,33
32,35
33,34
34,32
35,30
36,26
37,28
38,28
39,25
40,30
41,29
42,26
43,27
44,31
45,34
46,30
47,30
48,33
49,35
50,35
51,32
52,32
53,34
54,29
55,31
56,29
57,29
58,31
59,27
60,25
61,23
62,26
63,29
64,28
65,24
66,22
67,25
68,27
69,28
70,27
71,34
72,32
73,25
74,26
75,31
76,30
77,32
78,33
79,35
80,34
81,33
82,33
83,26
84,30
85,36
86,33
87,34
88,34
89,34
90,34
91,35
92,34
93,32
94,32
95,27
96,27
97,26
98,30
99,31
