Gerneration,Depth average
1,2.80198
2,2.85149
3,2.78218
4,2.79208
5,2.85149
6,2.78218
7,2.79208
8,2.78218
9,2.75248
10,2.77228
11,2.76238
12,2.77228
13,2.82178
14,2.75248
15,2.72277
16,2.77228
17,2.79208
18,2.85149
19,2.77228
20,2.79208
21,2.78218
22,2.82178
23,2.85149
24,2.75248
25,2.75248
26,2.77228
27,2.84158
28,2.80198
29,2.75248
30,2.74257
31,2.79208
32,2.84158
33,2.78218
34,2.81188
35,2.80198
36,2.76238
37,2.85149
38,2.83168
39,2.84158
40,2.81188
41,2.85149
42,2.77228
43,2.79208
44,2.84158
45,2.75248
46,2.76238
47,2.80198
48,2.71287
49,2.80198
50,2.83168
51,2.78218
52,2.77228
53,2.80198
54,2.83168
55,2.80198
56,2.79208
57,2.86139
58,2.75248
59,2.82178
60,2.84158
61,2.76238
62,2.83168
63,2.76238
64,2.78218
65,2.81188
66,2.76238
67,2.83168
68,2.75248
69,2.81188
70,2.75248
71,2.74257
72,2.79208
73,2.80198
74,2.79208
75,2.78218
76,2.75248
77,2.76238
78,2.85149
79,2.76238
80,2.81188
81,2.79208
82,2.79208
83,2.82178
84,2.81188
85,2.74257
86,2.78218
87,2.80198
88,2.85149
89,2.75248
90,2.82178
91,2.79208
92,2.70297
93,2.80198
94,2.74257
95,2.77228
96,2.85149
97,2.79208
98,2.82178
99,2.72277
100,2.84158
101,2.84158
102,2.81188
103,2.81188
104,2.80198
105,2.76238
106,2.80198
107,2.74257
108,2.82178
109,2.80198
110,2.82178
111,2.82178
112,2.79208
113,2.76238
114,2.79208
115,2.86139
116,2.83168
117,2.74257
118,2.83168
119,2.85149
120,2.73267
121,2.84158
122,2.80198
123,2.80198
124,2.75248
125,2.79208
126,2.78218
127,2.76238
128,2.77228
129,2.85149
130,2.79208
131,2.77228
132,2.81188
133,2.74257
134,2.77228
135,2.81188
136,2.78218
137,2.81188
138,2.77228
139,2.76238
140,2.75248
141,2.81188
142,2.84158
143,2.80198
144,2.77228
145,2.84158
146,2.81188
147,2.82178
148,2.83168
149,2.84158
150,2.77228
151,2.79208
152,2.74257
153,2.79208
154,2.84158
155,2.82178
156,2.78218
157,2.78218
158,2.83168
159,2.76238
160,2.72277
161,2.76238
162,2.79208
163,2.80198
164,2.87129
165,2.83168
166,2.86139
167,2.78218
168,2.81188
169,2.76238
170,2.75248
171,2.80198
172,2.82178
173,2.78218
174,2.77228
175,2.77228
176,2.78218
177,2.79208
178,2.79208
179,2.76238
180,2.83168
181,2.78218
182,2.74257
183,2.82178
184,2.81188
185,2.77228
186,2.79208
187,2.82178
188,2.78218
189,2.81188
190,2.84158
191,2.84158
192,2.82178
193,2.77228
194,2.82178
195,2.82178
196,2.72277
197,2.79208
198,2.75248
199,2.80198
200,2.85149
201,2.79208
202,2.75248
203,2.78218
204,2.80198
205,2.78218
206,2.83168
207,2.80198
208,2.83168
209,2.77228
210,2.74257
211,2.82178
212,2.82178
213,2.75248
214,2.82178
215,2.77228
216,2.83168
217,2.80198
218,2.80198
219,2.78218
220,2.87129
221,2.74257
222,2.81188
223,2.76238
224,2.82178
225,2.83168
226,2.81188
227,2.75248
228,2.83168
229,2.82178
230,2.74257
231,2.74257
232,2.82178
233,2.87129
234,2.84158
235,2.78218
236,2.75248
237,2.85149
238,2.86139
239,2.80198
240,2.75248
241,2.78218
242,2.83168
243,2.78218
244,2.81188
245,2.81188
246,2.78218
247,2.77228
248,2.78218
249,2.74257
250,2.72277
251,2.74257
252,2.79208
253,2.81188
254,2.82178
255,2.78218
256,2.78218
257,2.74257
258,2.83168
259,2.77228
260,2.75248
261,2.81188
262,2.78218
263,2.78218
264,2.69307
265,2.83168
266,2.80198
267,2.82178
268,2.85149
269,2.83168
270,2.83168
271,2.83168
272,2.78218
273,2.81188
274,2.74257
275,2.76238
276,2.82178
277,2.81188
278,2.81188
279,2.79208
280,2.79208
281,2.80198
282,2.79208
283,2.79208
284,2.77228
285,2.81188
286,2.79208
287,2.83168
288,2.85149
289,2.79208
290,2.75248
291,2.81188
292,2.80198
293,2.77228
294,2.83168
295,2.77228
296,2.83168
297,2.85149
298,2.82178
299,2.74257
300,2.80198
301,2.81188
302,2.81188
303,2.77228
304,2.78218
305,2.78218
306,2.84158
307,2.85149
308,2.84158
309,2.77228
310,2.79208
311,2.76238
312,2.80198
313,2.82178
314,2.79208
315,2.82178
316,2.77228
317,2.78218
318,2.77228
319,2.77228
320,2.79208
321,2.81188
322,2.81188
323,2.76238
324,2.85149
325,2.80198
326,2.81188
327,2.82178
328,2.78218
329,2.79208
330,2.87129
331,2.79208
332,2.83168
333,2.72277
334,2.78218
335,2.75248
336,2.82178
337,2.76238
338,2.76238
339,2.81188
340,2.81188
341,2.81188
342,2.81188
343,2.72277
344,2.78218
345,2.81188
346,2.84158
347,2.80198
348,2.80198
349,2.82178
350,2.86139
351,2.81188
352,2.80198
