Generation,Diversity
1,72
2,49
3,38
4,26
5,23
6,19
7,16
8,22
9,26
10,24
11,29
12,28
13,25
14,25
15,24
16,27
17,26
18,27
19,31
20,40
21,34
22,31
23,29
24,28
25,27
26,30
27,31
28,27
29,29
30,36
31,33
32,35
33,33
34,40
35,35
36,46
37,40
38,44
39,43
40,45
41,41
42,33
43,35
44,36
45,28
46,31
47,36
48,33
49,28
50,27
51,30
52,26
53,27
54,22
55,22
56,24
57,23
58,23
59,24
60,21
61,26
62,21
63,19
64,24
65,23
66,20
67,20
68,21
69,23
70,22
71,24
72,28
73,23
74,22
75,21
76,21
77,20
78,19
79,20
80,19
81,17
82,18
83,22
84,21
85,25
86,21
87,18
88,20
89,21
90,23
91,23
92,33
93,29
94,26
95,22
96,23
97,27
98,25
99,26
