Generation,Best,Worse,Average
1,17.4475,1375.42,6.95321e-310
2,17.4475,399.655,60.8446
3,17.4475,25.6749,26.3752
4,17.4475,25.6749,21.1044
5,17.4475,1089.51,20.7077
6,17.4475,25.0038,33.8305
7,16.6062,109.391,19.7444
8,16.6062,25.882,21.6494
9,16.6062,47.0461,19.186
10,16.6062,1159.03,19.4458
11,16.6062,730.462,43.2104
12,16.6062,386.266,36.2826
13,16.6062,4634.48,23.9003
14,16.6062,936.131,115.687
15,16.6062,863.12,46.1895
16,16.6062,1724.54,38.3527
17,16.1647,936.131,48.0709
18,15.5674,936.131,32.3932
19,16.6062,936.131,46.0458
20,16.6062,1146.98,52.0331
21,16.6062,936.131,39.496
22,15.5671,1724.54,50.9334
23,12.9833,13024.2,81.2536
24,12.9833,4634.41,167.302
25,12.9833,1724.54,94.4836
26,12.9833,994.433,89.897
27,12.9833,1724.54,37.2031
28,12.9833,686.938,74.3221
29,12.9833,4634.41,34.8458
30,12.9833,4634.41,98.4049
31,12.9833,704.699,82.3018
32,12.9833,382.249,41.4615
33,13.5891,1724.54,39.5711
34,15.5671,729.541,58.9233
35,12.9833,730.462,33.1559
36,12.9833,360.209,34.1392
37,12.9833,936.131,27.9505
38,15.5671,247.189,44.5125
39,15.5671,4634.41,26.9823
40,15.5671,1724.54,69.5542
41,13.8237,1724.54,51.8974
42,13.8237,1724.54,46.3628
43,13.8237,386.266,77.2153
44,15.5671,1724.54,31.2152
45,12.9833,1724.54,50.4665
46,12.9676,255.05,42.3038
47,12.9676,244.804,26.6677
48,12.9676,687.677,25.6222
49,12.9075,243.312,29.8484
50,12.9075,244.804,23.6583
51,12.9075,1720.12,25.8351
52,12.9075,861.673,39.2775
53,12.9075,243.312,36.5404
54,12.9075,98.6861,22.3217
55,12.9075,145.221,22.6008
56,12.9075,1724.54,22.4967
57,11.3298,238.948,41.0251
58,11.3298,81.7841,25.8989
59,11.3298,1646.6,20.8601
60,11.3298,78.2419,39.3808
61,11.3298,65.0939,20.5262
62,11.3298,860.593,20.4647
63,11.3298,1646.6,30.0658
64,11.3298,860.593,39.7108
65,11.3298,247.189,30.0323
66,11.3298,315.714,22.7241
67,11.3298,78.3912,21.7961
68,11.3298,77.9783,20.2973
69,11.3298,77.9783,19.1433
70,11.3298,77.9783,19.3709
71,11.3298,76.1885,18.8625
72,11.3298,77.9783,17.8693
73,11.3298,32.6919,18.9488
74,11.3298,77.9783,18.0465
75,11.3298,77.9783,20.3277
76,11.3298,77.9783,20.3256
77,11.3298,77.9783,20.5108
78,11.3298,77.9783,18.9335
79,11.3298,77.9783,19.8159
80,11.3298,77.9783,20.6867
81,11.3298,77.9783,19.9727
82,11.3298,77.9783,18.7481
83,11.3298,77.9783,19.1641
84,11.3298,77.9783,19.1896
85,10.7387,77.9783,19.3957
86,10.7387,32.6919,18.0199
87,10.7387,77.9783,16.9018
88,10.7387,77.9783,17.7953
89,10.7387,77.9783,17.5917
90,10.7387,77.9783,18.3321
91,10.7387,32.6919,18.2562
92,10.7387,77.9783,17.8018
93,10.7387,77.9783,18.7997
94,10.7387,77.9783,18.1472
95,10.7387,77.9783,19.3264
96,10.7387,77.7904,19.1898
97,10.7387,78.3912,18.3411
98,10.7387,77.9783,18.6905
99,10.7387,77.9783,18.363
